model,sev_base,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ens,0.034935,0.045704,0.042019,0.039364,0.017818,0.042012,0.063368,0.032312,0.042941,0.000000,0.063634,0.031966,0.037798,0.040635,0.034475,0.017580,0.056430,0.056020,0.000000,0.034935,0.034935,0.034935
pes_ens_sprb,0.044879,0.095202,0.074140,0.059376,0.037199,0.079547,0.093304,0.044688,0.129723,0.112181,0.059372,0.030225,0.044265,0.042141,0.035490,0.022539,0.107268,0.118571,0.080800,0.044879,0.044879,0.044879
pes_ens_accq,0.044030,0.094956,0.074980,0.059795,0.037819,0.081740,0.088059,0.058375,0.130613,0.113061,0.059372,0.030763,0.042099,0.043584,0.042111,0.024835,0.115598,0.114262,0.083630,0.044030,0.044030,0.044030
pes_ens_consensus,0.063718,0.084184,0.084767,0.066582,0.028876,0.077089,0.086276,0.026168,0.084353,0.018824,0.020873,0.042856,0.066922,0.065435,0.047594,0.037739,0.017523,0.093524,0.012025,0.063718,0.063718,0.063718
pes_ens_consensus_prior,0.041098,0.050609,0.066954,0.048513,0.024681,0.057965,0.083377,0.029822,0.056755,0.011017,0.057306,0.019376,0.045687,0.041659,0.038947,0.020232,0.048580,0.060004,0.002885,0.041098,0.041098,0.041098
pes_ens_trf_guard,0.045703,0.056072,0.069817,0.051815,0.023556,0.051242,0.067679,0.031296,0.053712,0.007673,0.063329,0.038297,0.049439,0.047605,0.047786,0.023313,0.041001,0.066931,0.005588,0.045703,0.045703,0.045703
