model,sev_base,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ens,,0.095597,0.349216,0.040831,0.332042,0.046987,0.204257,0.305624,0.126892,1.524302,0.543180,0.234059,0.054837,0.037761,0.594848,0.497079,0.662556,0.070479,1.366682,0.000000,0.000000,0.000000
pes_ens_sprb,,0.190052,0.448605,0.027597,0.334169,0.097036,0.274750,0.277190,0.208068,0.718413,0.404418,0.278830,0.046660,0.012894,0.557524,0.462467,0.759244,0.166980,0.812140,0.000000,0.000000,0.000000
pes_ens_accq,,0.122333,0.409129,0.035053,0.331881,0.064838,0.226575,0.269809,0.149629,0.699131,0.406161,0.257068,0.042390,0.018895,0.532379,0.442685,0.753063,0.146175,0.760903,0.000000,0.000000,0.000000
pes_ens_consensus,,0.127255,0.469571,0.070457,0.051284,0.149858,0.416382,0.034824,0.294071,1.873306,0.655307,0.168587,0.010235,0.022770,0.388315,0.187335,1.165947,0.171047,1.081584,0.000000,0.000000,0.000000
pes_ens_consensus_prior,,0.278249,0.433985,0.059652,0.277271,0.279034,0.310641,0.330807,0.474010,0.985094,0.448525,0.244892,0.031391,0.007824,0.551976,0.499808,0.714885,0.259280,1.034994,0.000000,0.000000,0.000000
pes_ens_trf_guard,,0.309400,0.359016,0.171172,0.292345,0.158651,0.318958,0.316478,0.361036,1.062050,0.471590,0.193565,0.020639,0.026258,0.416133,0.397995,1.024673,0.255197,0.904634,0.000000,0.000000,0.000000
