model,sev_empirical,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ql,0.060784,,,,,,,,,,,,,,,,,,,,,
pes_dql,0.047704,,,,,,,,,,,,,,,,,,,,,
pes_dqn,0.055174,,,,,,,,,,,,,,,,,,,,,
pes_rdqn,0.048760,,,,,,,,,,,,,,,,,,,,,
pes_a2c,0.063167,,,,,,,,,,,,,,,,,,,,,
pes_trf,0.045467,,,,,,,,,,,,,,,,,,,,,
