model,sev_empirical,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ql,,0.069941,0.126332,0.038031,0.021884,0.033994,0.099991,0.032070,0.035236,1.147309,0.543303,0.209303,0.024269,0.055113,0.418216,0.180421,0.385466,0.041447,0.629495,0.000000,0.000000,0.000000
pes_dql,,0.141778,0.168139,0.029385,0.066127,0.107995,0.086132,0.123638,0.096373,0.697007,0.592755,0.186413,0.012993,0.020177,0.404402,0.205858,0.424618,0.122783,0.767037,0.000000,0.000000,0.000000
pes_dqn,,1.535303,3.144375,0.295614,0.000000,1.007922,2.254114,0.000000,1.162420,0.000000,0.628609,0.163631,0.002861,0.004050,0.380743,0.163631,2.818873,1.436515,0.380743,0.000000,0.000000,0.000000
pes_rdqn,,0.097437,0.366313,0.033452,0.385151,0.036675,0.211979,0.338423,0.140809,0.722868,0.435263,0.235758,0.025490,0.017407,0.534637,0.527037,0.627603,0.120551,0.790861,0.000000,0.000000,0.000000
pes_a2c,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.628609,0.163631,0.002861,0.004050,0.380743,0.163631,0.628609,0.002861,0.380743,0.000000,0.000000,0.000000
pes_trf,,0.301751,0.330843,0.050806,0.280390,0.137435,0.251719,0.297236,0.343837,1.064204,0.473258,0.204649,0.021132,0.016100,0.420409,0.386853,1.024673,0.211901,0.917513,0.000000,0.000000,0.000000
pes_ens,,0.095597,0.349216,0.040831,0.332042,0.046987,0.204257,0.305624,0.126892,1.524302,0.543180,0.234059,0.054837,0.037761,0.594848,0.497079,0.662556,0.070479,1.366682,0.000000,0.000000,0.000000
