model,sev_empirical,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ql,1.000000,1.000000,1.000000,1.000000,0.975100,1.000000,1.000000,1.000000,1.000000,0.799900,1.000000,0.969400,1.000000,1.000000,0.946700,0.991300,1.000000,1.000000,0.808900,1.000000,1.000000,1.000000
pes_dql,1.000000,0.994200,1.000000,0.985100,0.991600,1.000000,1.000000,0.992900,1.000000,0.822100,1.000000,0.954100,1.000000,1.000000,0.941500,0.984700,1.000000,0.959500,0.830100,1.000000,1.000000,1.000000
pes_dqn,0.983100,1.000000,1.000000,1.000000,0.985100,1.000000,1.000000,0.995400,1.000000,0.916700,1.000000,0.957000,0.986200,0.984400,0.941800,0.995300,1.000000,0.982500,0.920400,0.983100,0.983100,0.983100
pes_rdqn,0.992400,1.000000,1.000000,0.989800,1.000000,1.000000,1.000000,1.000000,1.000000,0.965600,1.000000,0.942300,0.993200,0.976800,0.939000,0.984000,1.000000,1.000000,0.967200,0.992400,0.992400,0.992400
pes_a2c,0.983100,1.000000,1.000000,1.000000,0.983700,1.000000,1.000000,0.995900,1.000000,0.946700,1.000000,0.954100,0.984500,0.984400,0.921400,0.991600,1.000000,0.982500,0.949100,0.983100,0.983100,0.983100
pes_trf,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.929000,1.000000,1.000000,0.955700,0.974000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pes_ens,0.992000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999100,1.000000,1.000000,1.000000,0.992000,0.961500,0.992000,0.983800,0.958200,0.979300,1.000000,1.000000,1.000000,0.992000,0.992000,0.992000
