model,sev_empirical,sev_uniform,sev_gauss_low,sev_gauss_mid,sev_gauss_high,sev_weibull,sev_beta_lowskew,sev_beta_highskew,sev_bimodal,sev_extrapolate_high,len_all_short,len_all_long,len_geometric,len_poisson,len_extrapolate_long,joint_high_long,joint_low_short,joint_uniform_geom,joint_extrap_both,struct_few_long_blocks,struct_many_short_blocks,struct_more_total
pes_ql,0.000000,0.043572,-0.008514,0.006736,-0.022666,0.045013,0.032397,-0.027808,0.022830,0.124364,-0.055922,0.027717,0.017147,0.008323,0.051639,-0.015914,-0.049145,0.040200,0.079389,0.000000,0.000000,-0.000000
pes_dql,0.000000,0.056200,0.006187,0.008378,-0.020036,0.050856,0.035791,-0.027413,0.043533,0.110972,-0.025417,0.018736,-0.001528,-0.012911,0.052058,-0.024564,-0.017236,0.079994,0.067755,0.000000,0.000000,0.000000
pes_dqn,0.000000,0.020195,-0.001750,-0.001436,-0.036545,0.010936,0.014353,-0.041016,0.016578,0.003966,-0.040959,0.033605,0.005967,-0.008880,0.052511,-0.041675,-0.093967,0.029653,-0.026000,0.000000,0.000000,0.000000
pes_rdqn,0.000000,0.029094,-0.006836,0.009967,-0.033300,0.017800,0.007598,-0.027484,0.036167,0.067592,0.029447,-0.002103,0.003525,0.004678,0.009172,-0.031014,0.004002,0.057516,0.031166,0.000000,0.000000,0.000000
pes_a2c,0.000000,0.026792,0.026877,0.001484,-0.053470,0.010020,0.029248,-0.056770,0.015513,-0.042189,-0.070700,0.039125,0.003645,-0.010422,0.061570,-0.034581,-0.100458,0.026558,-0.061370,0.000000,0.000000,0.000000
pes_trf,0.000000,0.004330,0.013622,0.006995,-0.022262,-0.001908,0.022455,-0.015109,0.001733,-0.068502,-0.008528,0.051509,0.010709,-0.005939,0.067525,-0.003073,-0.042302,0.006661,-0.069725,0.000000,0.000000,0.000000
pes_ens,0.000000,0.000161,-0.001539,-0.000514,-0.020175,-0.000266,0.020048,-0.010139,-0.000978,-0.062688,0.029172,0.016619,0.008442,0.004541,0.037295,-0.006123,-0.004453,0.008825,-0.062688,0.000000,0.000000,0.000000
